,placeId,placeName,linkPlaceId,pinCode,mandalName,latitude,longitude,stateCode,district
6331,238963,APPARAJU PETA,238963,516126,RAJAMPET,14.228120,79.168710,AP,ANNAMAYYA
6332,222578,BHIMOLU X ROAD,222578,534341,GOPALAPURAM,17.141266,81.617565,AP,EAST GODAVARI
6333,222577,BHIMOLU,222577,534341,GOPALAPURAM,17.142058,81.577979,AP,EAST GODAVARI
6334,222583,MILESTONE,222583,522612,VELDURTHI,,,AP,KURNOOL
6335,238967,ROLLABUDUGUNTAPALLE,238967,516126,RAJAMPET,14.156840,79.011640,AP,ANNAMAYYA
6336,222582,MILESTONE,222582,522612,DURGI,,,AP,PALNADU
6337,238965,MITTAMEEDAPALLE,238965,516126,KADAPA,14.46484,78.68489,AP,YSR KADAPA
6338,9591,MUDINEPALLI,9591,521325,MUDINEPALLE,16.422472,81.109229,AP,ELURU
6339,222580,JAYAPURAM,222580,521328,KODUR,16.01246,81.000221,AP,KRISHNA
6340,222587,NELLIPUDI,222587,533446,SANKHAVARAM,17.265595,82.344230,AP,KAKINADA
6341,238971,BOLLUVANDLAPALLI,238971,516129,T SUNDUPALLE,14.0677250,78.3921580,AP,ANNAMAYYA
6342,1693835592842,MEDIKONDA,1693835592842,509127,AIZA,15.964099,77.616719,TS,JOGULAMBA GADWAL
6343,222586,MULAGAPUDI,222586,533446,ROWTHULAPUDI,17.4201810,82.3858310,AP,KAKINADA
6344,238970,THUMMACHETLAPALLI,238970,516128,CHITVEL,14.189088,79.161365,AP,ANNAMAYYA
6345,238968,KONDUR,238968,516127,PENAGALUR,14.31124,79.32489,AP,ANNAMAYYA
6346,238975,ENUGUNDLAVARIPALLI,238975,516130,T SUNDUPALLE,14.06225,78.91062,AP,ANNAMAYYA
6347,9601,MUKKAMALA,9601,533241,AMBAJIPETA,16.64653,81.96163,AP,KONASEEMA
6348,238976,GOLLAPALLI,238976,516130,T SUNDUPALLE,13.910816,78.907555,AP,ANNAMAYYA
6349,1679295338952,BOGOLE_1,1679295338952,524142,BOGOLE,14.752226,79.978314,AP,SPS NELLORE
6350,222599,GORRIPUDI,222599,533468,KARAPA,16.866858,82.186286,AP,KAKINADA
